,url,desc,full_desc,requirements,popu_tags,game_name
59702,https://store.steampowered.com/bundle/3176/Fear_the_Walking_Dead_Season_2/?snr=1_7_7_230_150_2386,-,,-,-,Fear_the_Walking_Dead_Season_2
59703,https://store.steampowered.com/bundle/3237/Showa_Genroku_Rakugo_Shinju_Season_1/?snr=1_7_7_230_150_2386,-,,-,-,Showa_Genroku_Rakugo_Shinju_Season_1
59707,https://store.steampowered.com/bundle/3263/New_Game_Season_1/?snr=1_7_7_230_150_2386,-,,-,-,New_Game_Season_1
59709,https://store.steampowered.com/bundle/3391/Online_Gamer_Season_1/?snr=1_7_7_230_150_2386,-,,-,-,Online_Gamer_Season_1
59710,https://store.steampowered.com/bundle/3392/Online_Gamer_Season_2/?snr=1_7_7_230_150_2386,-,,-,-,Online_Gamer_Season_2
59711,https://store.steampowered.com/bundle/3444/Fear_the_Walking_Dead_Season_3/?snr=1_7_7_230_150_2386,-,,-,-,Fear_the_Walking_Dead_Season_3
59712,https://store.steampowered.com/bundle/3536/Saga_of_Tanya_the_Evil_Season_1/?snr=1_7_7_230_150_2386,-,,-,-,Saga_of_Tanya_the_Evil_Season_1
59714,https://store.steampowered.com/bundle/1333/Mugen_Souls_Z_DLC_Collection/?snr=1_7_7_230_150_2386,-,,-,-,Mugen_Souls_Z_DLC_Collection
59715,https://store.steampowered.com/bundle/1376/Daylights_End_VR__Full_Movie/?snr=1_7_7_230_150_2386,-,,-,-,Daylights_End_VR__Full_Movie
59716,https://store.steampowered.com/bundle/1428/Runbow__Extra_ValHue_Bundle/?snr=1_7_7_230_150_2386,-,,-,-,Runbow__Extra_ValHue_Bundle
59726,https://store.steampowered.com/bundle/4687/Cirque_du_Soleil_Bundle/?snr=1_7_7_230_150_2386,-,,-,-,Cirque_du_Soleil_Bundle
59733,https://store.steampowered.com/bundle/13866/Disaster_Report_4_Summer_Memories__Costume_Bundle/?snr=1_7_7_230_150_2387,-,,-,-,Disaster_Report_4_Summer_Memories__Costume_Bundle
59745,https://store.steampowered.com/bundle/14262/Beware_of_the_Blob__Soundtrack/?snr=1_7_7_230_150_2387,-,,-,-,Beware_of_the_Blob__Soundtrack
59746,https://store.steampowered.com/bundle/14275/King_of_Spies_Gold_Edition/?snr=1_7_7_230_150_2387,-,,-,-,King_of_Spies_Gold_Edition
59748,https://store.steampowered.com/bundle/15935/VR_Roman_Empire_and_Midieval_Ages/?snr=1_7_7_230_150_2387,-,,-,-,VR_Roman_Empire_and_Midieval_Ages
59749,https://store.steampowered.com/bundle/16000/Clickable_Coffee_Shop_Complete_Bundle/?snr=1_7_7_230_150_2387,-,,-,-,Clickable_Coffee_Shop_Complete_Bundle
